tce_period,tce_duration,tce_depth,tce_model_snr,tce_bin_oedp_stat,tce_impact,tce_prad,av_training_set
5.50026,15.24,186.3,21.43,9.137e-07,0.6968,2.098,AFP
5.50012,15.0,169.4,-1.0,0.0,0.1,1.889,AFP
13.4457,21.53,111.0,15.64,0.3602,0.4145,1.12,AFP
1.19676,1.656,68.27,16.95,0.001588,0.9938,5.82,AFP
1.19686,1.8,73.1,20.39,4.272e-07,0.9901,5.452,AFP
459.313,2.587,256.9,6.684,1.969e-16,0.6951,2.647,NTP
1.97363,1.905,25.29,14.1,0.002004,0.5113,1.713,AFP
1.97363,1.789,19.51,10.77,1.128e-08,0.2785,1.476,AFP
1.97361,3.286,143.3,16.74,0.1954,0.985,2.097,AFP
0.72386,2.967,106.4,12.71,0.009983,0.5926,3.175,AFP
0.947537,1.058,51.96,11.08,0.0109,0.9023,0.7051,UNK
0.686988,1.301,330.1,19.98,0.04106,0.9001,2.17,AFP
2.02126,6.833,223.3,10.59,1.282,0.3,1.494,UNK
7.35389,15.45,51.14,10.78,0.4682,0.6932,1.213,AFP
3.67731,10.85,35.41,10.78,2.422,0.9098,1.114,UNK
2.79666,1.957,175.5,9.395,0.266,0.6653,5.928,UNK
4.19539,14.39,30.01,3.044,1.072,0.9,2.668,UNK
0.847716,3.172,22.2,11.41,0.1305,0.3776,0.9016,AFP
0.731707,1.064,203.1,9.05,0.001821,0.7088,4.048,UNK
0.996298,3.803,74.76,5.056,6.683e-06,0.02521,1.46,NTP
71.5254,5.972,6092.0,114.5,2.744,0.3516,6.237,PC
0.982769,5.315,73.82,10.15,0.03676,0.00237,0.9166,NTP
3.04949,5.135,40.27,9.209,0.9721,0.9076,1.099,UNK
0.58119,1.925,206.4,13.94,0.005653,0.2391,3.458,UNK
0.582576,1.251,336.0,9.253,8.956e-18,0.1,1.826,AFP
0.581897,0.6458,240.0,2.718,3.922e-05,0.02164,1.574,AFP
3.37572,1.293,160.5,20.41,0.2133,0.8918,1.814,PC
14.0797,1.44,164.5,26.93,0.03717,0.8503,1.304,PC
